match id,dataset_type,win_pred_team_id,win_pred_score,indep_feat_id1,indep_feat_id2,indep_feat_id3,indep_feat_id4,indep_feat_id5,indep_feat_id6,indep_feat_id7,indep_feat_id8,indep_feat_id9,indep_feat_id10,train_algorithm,is_ensemble,train_hps_trees,train_hps_depth,train_hps_lr
9250275,r1,90,0.564617745,0,0.090406211,0.766039153,0.908054118,0.5,0.019607843,1,0.886590038,2,1.468509028,XGBClassifier;LGBMClassifier;CatBoostClassifier,yes,95;28;20,2;2;5,0.05;0.05;0.001
9262189,r1,36098,0.529729504,0.615384615,0.012900163,1.087213567,0.896853441,0.9375,0.344262295,1,1.416666667,2,0.397526502,XGBClassifier;LGBMClassifier;CatBoostClassifier,yes,95;28;20,2;2;5,0.05;0.05;0.001
9128776,r1,48334,0.524219979,0.842105263,-0.139185635,0.908587212,0.977651515,0.894444444,0.75308642,0,0.928571429,1.058536585,0.841165414,XGBClassifier;LGBMClassifier;CatBoostClassifier,yes,95;28;20,2;2;5,0.05;0.05;0.001
9586919,r1,36112,0.526920239,0.285714286,0.048260172,0.730420533,0.994047619,1.333333333,1.487804878,1,1.2,0.960814249,1.152597403,XGBClassifier;LGBMClassifier;CatBoostClassifier,yes,95;28;20,2;2;5,0.05;0.05;0.001
9128538,r1,30414,0.518627153,2.375,-0.065776032,1.059988653,0.971212121,0.96,0.31032954,1,0.962864721,0,1.308176101,XGBClassifier;LGBMClassifier;CatBoostClassifier,yes,95;28;20,2;2;5,0.05;0.05;0.001
9516653,r1,30435,0.542341459,0.4,0.132789225,0.902096801,1.059920635,1.047619048,0.672131148,1,0.995121951,2,1.278089888,XGBClassifier;LGBMClassifier;CatBoostClassifier,yes,95;28;20,2;2;5,0.05;0.05;0.001
9516534,r1,30414,0.54231726,0.681818182,0.012997739,0.998175295,1.017279412,0.869565217,0.344262295,1,1.444444444,0.665898618,0.585858586,XGBClassifier;LGBMClassifier;CatBoostClassifier,yes,95;28;20,2;2;5,0.05;0.05;0.001
9085474,r1,9701,0.522863362,3.2,0.163252075,0.961153346,1.016522098,0.984615385,0.603960396,1,1.029239766,2,0.659259259,XGBClassifier;LGBMClassifier;CatBoostClassifier,yes,95;28;20,2;2;5,0.05;0.05;0.001
9433752,r1,7727,0.594598632,2.428571429,0.135598129,1.022828199,0.935064935,1.227272727,2.904761905,1,1.138888889,0.920652174,1.64,XGBClassifier;LGBMClassifier;CatBoostClassifier,yes,95;28;20,2;2;5,0.05;0.05;0.001
9516359,r1,30428,0.52145522,1.727272727,-0.182029341,1.107962739,0.99422188,1.041666667,21,1,0.75,2,5.114285714,XGBClassifier;LGBMClassifier;CatBoostClassifier,yes,95;28;20,2;2;5,0.05;0.05;0.001
9262133,r1,36098,0.533370675,1.714285714,0.084231823,1.053005532,1.022451613,0.890909091,1.487804878,1,0.893617021,2,2.572727273,XGBClassifier;LGBMClassifier;CatBoostClassifier,yes,95;28;20,2;2;5,0.05;0.05;0.001
9782086,r1,202,0.548419685,1.5,0.056177423,1.295546673,1.140260631,0.952380952,1.952380952,0,1.056186523,0.915204678,0.489130435,XGBClassifier;LGBMClassifier;CatBoostClassifier,yes,95;28;20,2;2;5,0.05;0.05;0.001
9271807,r1,47501,0.572989658,0.6,-0.194375932,0.977332535,1.028423773,0.957264957,0.50617284,1,0.705882353,0.937232525,1.235474006,XGBClassifier;LGBMClassifier;CatBoostClassifier,yes,95;28;20,2;2;5,0.05;0.05;0.001
9644102,r1,48,0.54459351,3.4,-0.220630287,0.871492024,1.088683941,1,1.487804878,1,0.851851852,2,1.313662945,XGBClassifier;LGBMClassifier;CatBoostClassifier,yes,95;28;20,2;2;5,0.05;0.05;0.001
9256386,r1,62,0.542570666,0.444444444,0.042341888,0.998957006,0.82703545,0.661111111,0.024390244,0,1.010526316,0.994388328,0.980825959,XGBClassifier;LGBMClassifier;CatBoostClassifier,yes,95;28;20,2;2;5,0.05;0.05;0.001
9272773,r1,33921,0.573439702,0.909090909,0.103320171,0.955585943,0.955528356,1,2.904761905,1,1.055555556,0,0.490196078,XGBClassifier;LGBMClassifier;CatBoostClassifier,yes,95;28;20,2;2;5,0.05;0.05;0.001
9433850,r1,6698,0.516715529,0.666666667,0.037063939,1.023028016,0.99925761,1.03125,1,0,1.103286385,0.85,0.476909797,XGBClassifier;LGBMClassifier;CatBoostClassifier,yes,95;28;20,2;2;5,0.05;0.05;0.001
9615073,r1,41,0.516128071,0.923076923,-0.038957678,1.043785339,0.993400621,0.933333333,2.904761905,1,0.857142857,2,0.518991713,XGBClassifier;LGBMClassifier;CatBoostClassifier,yes,95;28;20,2;2;5,0.05;0.05;0.001
9262035,r1,36070,0.518832098,0.4,0.036096247,0.958056932,1.072065821,1.388888889,1.487804878,1,0.746031746,1.039787798,0.709677419,XGBClassifier;LGBMClassifier;CatBoostClassifier,yes,95;28;20,2;2;5,0.05;0.05;0.001
9262252,r1,36098,0.539952199,0.833333333,0.069924293,1.073831627,0.918163673,0.802083333,1.327868852,0,1.416666667,0.751336898,0.729577465,XGBClassifier;LGBMClassifier;CatBoostClassifier,yes,95;28;20,2;2;5,0.05;0.05;0.001
9128363,r1,48341,0.537441957,2.75,0.048485315,0.851009269,1.026572562,1,1,1,0.899902517,2,1.088698526,XGBClassifier;LGBMClassifier;CatBoostClassifier,yes,95;28;20,2;2;5,0.05;0.05;0.001
9085292,r1,10366,0.534399647,0.75,0.111298436,1.029136611,0.931259601,1.244444444,2.904761905,1,0.807692308,0.956578947,1.363408521,XGBClassifier;LGBMClassifier;CatBoostClassifier,yes,95;28;20,2;2;5,0.05;0.05;0.001
9272444,r1,33942,0.548860244,0.636363636,0.02863506,1.025319831,1.016331658,0.904761905,0.024390244,0,1.055555556,1.094017094,1.689473684,XGBClassifier;LGBMClassifier;CatBoostClassifier,yes,95;28;20,2;2;5,0.05;0.05;0.001
9457538,r1,42573,0.590276242,0.714285714,-0.047977779,0.770999125,0.961499875,0.666666667,1,1,0.774193548,0.790540541,3.1875,XGBClassifier;LGBMClassifier;CatBoostClassifier,yes,95;28;20,2;2;5,0.05;0.05;0.001
9433108,r1,9701,0.552517881,0.714285714,0.036709981,0.819076245,0.999584545,0.892857143,0.50617284,1,1.032786885,1.028537455,0.404494382,XGBClassifier;LGBMClassifier;CatBoostClassifier,yes,95;28;20,2;2;5,0.05;0.05;0.001
9516674,r1,30414,0.541951463,0.7,-0.182764495,1.118371409,0.913705584,1.2,1,1,1.138888889,0.699280576,0.719191919,XGBClassifier;LGBMClassifier;CatBoostClassifier,yes,95;28;20,2;2;5,0.05;0.05;0.001
9684506,r1,12389,0.542851823,0,0.288473144,0.366374021,0.848747335,1,0.047619048,0,1.205128205,0,1.045727016,XGBClassifier;LGBMClassifier;CatBoostClassifier,yes,95;28;20,2;2;5,0.05;0.05;0.001
9167927,r1,209,0.551367453,2,-0.068961448,1.05370999,1.116319444,1.6,21,1,1.400617284,1.007874016,1.118506375,XGBClassifier;LGBMClassifier;CatBoostClassifier,yes,95;28;20,2;2;5,0.05;0.05;0.001
9433885,r1,9701,0.564843958,0.909090909,-0.046267762,0.85948808,0.968334636,0.84,1,0,0.93220339,0,1.326530612,XGBClassifier;LGBMClassifier;CatBoostClassifier,yes,95;28;20,2;2;5,0.05;0.05;0.001
9433899,r1,7727,0.581640356,1,0.126241109,0.956276166,0.847717546,1.25,1.975609756,1,1.4875,0.99122807,1.204938272,XGBClassifier;LGBMClassifier;CatBoostClassifier,yes,95;28;20,2;2;5,0.05;0.05;0.001
9087147,r1,76,0.525057714,0.8,-0.078132753,0.95114334,0.932375317,0.739130435,0.207920792,0,1.107692308,2,1.023731968,XGBClassifier;LGBMClassifier;CatBoostClassifier,yes,95;28;20,2;2;5,0.05;0.05;0.001
9457664,r1,47529,0.521123131,2,-0.074933231,1.32742073,1.023104986,1.25,61,0,0.580645161,1.107671602,1.597222222,XGBClassifier;LGBMClassifier;CatBoostClassifier,yes,95;28;20,2;2;5,0.05;0.05;0.001
